"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","label","direction","neg_log10_padj"
"ENSG00000000003",709.879777806949,-0.383926090559846,0.100851484182865,-3.8068462122353,0.000140750207428707,0.00109454839339505,"TSPAN6","7105","TSPAN6","NS",2.96076503215926
"ENSG00000000419",521.155538570467,0.204170512411196,0.111654614691656,1.82859000476631,0.0674610511651113,0.185851559539227,"DPM1","8813","DPM1","NS",0.730833790250585
"ENSG00000000457",237.573162613185,0.0352858019697166,0.141242217144941,0.24982475270483,0.802722876685499,0.904035237142524,"SCYL3","57147","SCYL3","NS",0.0438146414291617
"ENSG00000000460",58.034962241096,-0.0923156845783956,0.279298144766174,-0.330527381969119,0.741001506281563,0.871679968687895,"FIRRM","55732","FIRRM","NS",0.0596429340398817
"ENSG00000000971",5826.53778297965,0.423740495917655,0.0893545821941389,4.74223577025969,2.11372422441487e-06,2.48261622281593e-05,"CFH","3075","CFH","NS",4.60509041101138
"ENSG00000001036",1284.52719576234,-0.243715004423998,0.089725686660508,-2.71622334132849,0.00660313568402551,0.0302055236527253,"FUCA2","2519","FUCA2","NS",1.51991363079968
"ENSG00000001084",611.014595405357,-0.0503006891772445,0.166003608492506,-0.303009613068233,0.761882535623583,0.882666845459614,"GCLC","2729","GCLC","NS",0.0542031859813248
"ENSG00000001167",369.980409948709,-0.502961923294945,0.119645067690729,-4.20378318139327,2.62490389621748e-05,0.000245979136429279,"NFYA","4800","NFYA","NS",3.6091017275222
"ENSG00000001460",183.565561362969,-0.126699515757144,0.176516115304293,-0.717778745236542,0.472893720802669,0.682862976632828,"STPG1","90529","STPG1","NS",0.165666433159384
"ENSG00000001461",2819.58577464732,-0.0436985727751628,0.103366330630392,-0.422754416342941,0.672474448734928,0.828894249716484,"NIPAL3","57185","NIPAL3","NS",0.0815008731820947
"ENSG00000001497",540.74470323996,-0.00669656207592968,0.106457458176907,-0.0629036442407033,0.949843232909503,0.976877641579078,"LAS1L","81887","LAS1L","NS",0.0101598302575535
"ENSG00000001561",114.306948612844,0.222691541589441,0.211369988865659,1.05356272564776,0.292083162185409,0.514314287493799,"ENPP4","22875","ENPP4","NS",0.288771410943289
"ENSG00000001617",599.81327926346,-0.252898869867275,0.107786810904232,-2.3462877113228,0.0189614643474897,0.0706756989680971,"SEMA3F","6405","SEMA3F","NS",1.15072988773428
"ENSG00000001629",1783.027395702,-0.229337184486762,0.0817676494874121,-2.80474229018981,0.00503568244050191,0.0241050434907902,"ANKIB1","54467","ANKIB1","NS",1.61789208061768
"ENSG00000001630",54.8071703099711,0.00999632402904034,0.303395076159687,0.0329482078469162,0.973715889342259,0.98709846066362,"CYP51A1","1595","CYP51A1","NS",0.00563952535450219
"ENSG00000001631",786.785362849215,-0.0393476228769607,0.103348626422898,-0.380727100483678,0.703405757425484,0.848689345709439,"KRIT1","889","KRIT1","NS",0.0712512498424855
"ENSG00000002016",184.180941448053,-0.313080853132971,0.156873783275216,-1.99575000102922,0.0459611415708803,0.140000364139739,"RAD52","5893","RAD52","NS",0.853870834724094
"ENSG00000002330",178.345798292393,0.0863557762912276,0.152044762698738,0.567962846982987,0.570060195879402,0.75977815541676,"BAD","572","BAD","NS",0.119313197117625
"ENSG00000002549",1255.66997191449,0.18404349770332,0.106371844030787,1.73018997066605,0.0835963396481826,0.217335786742103,"LAP3","51056","LAP3","NS",0.662868756399354
"ENSG00000002586",8299.39631133115,0.0871178022432529,0.082353565692133,1.05785100512746,0.290123375092844,0.512171316616702,"CD99","4267","CD99","NS",0.290584747195002
"ENSG00000002746",108.620125744862,0.0998960704722567,0.194079587367335,0.514717038650661,0.60675076519987,0.785976926904573,"HECW1","23072","HECW1","NS",0.104590202898383
"ENSG00000002822",350.393986885032,-0.162783500486804,0.130867546254878,-1.24387982464167,0.213543795764141,0.420400098991895,"MAD1L1","8379","MAD1L1","NS",0.376337190380168
"ENSG00000002834",7180.49667257707,0.393992292345767,0.0941600277312951,4.18428394551991,2.86066368261008e-05,0.000263753191536649,"LASP1","3927","LASP1","NS",3.57880227649664
"ENSG00000002919",250.924031314052,0.401779837292242,0.137934912557671,2.91282192334196,0.0035817879479571,0.0181561859451118,"SNX11","29916","SNX11","NS",1.74097537811456
"ENSG00000002933",541.125661485326,0.359132765396614,0.145645559767212,2.46579961634686,0.0136707788801091,0.054251613174149,"TMEM176A","55365","TMEM176A","NS",1.26558734352155
"ENSG00000003056",1067.09243990859,-0.07521808024428,0.0927774558718824,-0.810736612007874,0.41751694329564,0.636031407496158,"M6PR","4074","M6PR","NS",0.196521438179433
"ENSG00000003096",378.746234635411,-0.943598051524695,0.142732883075096,-6.61093667552583,3.81895835177274e-11,9.00276034176426e-10,"KLHL13","90293","KLHL13","NS",9.04562431085012
"ENSG00000003137",104.789830707931,-0.901248124253681,0.286130264937155,-3.14978258050273,0.00163392009433953,0.00934240014788505,"CYP26B1","56603","CYP26B1","NS",2.02954153521815
"ENSG00000003249",116.596992534103,-0.283299081627205,0.190037046281519,-1.49075712957319,0.136025270929678,0.310818586857901,"DBNDD1","79007","DBNDD1","NS",0.50749301841533
"ENSG00000003393",852.429549715659,0.16923721593909,0.0961156299879551,1.76076685925378,0.0782778712181634,0.2067971268285,"ALS2","57679","ALS2","NS",0.684455499481364
"ENSG00000003400",80.3323083343985,-0.410407796095639,0.221528046481196,-1.85262228695036,0.0639365157433124,0.178694916685081,"CASP10","843","CASP10","NS",0.747887801646673
"ENSG00000003402",2549.95495576688,1.18780909121148,0.121220136064067,9.79877708257727,1.13956910257903e-22,8.75568927148221e-21,"CFLAR","8837","CFLAR","UP",20.0577096594014
"ENSG00000003436",4477.49974992209,-0.199244988964811,0.150802386169771,-1.32123233607526,0.186423907477389,0.385243577200192,"TFPI","7035","TFPI","NS",0.414264593128082
"ENSG00000003509",291.314764433561,-0.0537599614349857,0.134242334753152,-0.400469505643215,0.688810739443754,0.838680629075623,"NDUFAF7","55471","NDUFAF7","NS",0.07640338772383
"ENSG00000003756",2121.2288736718,-0.191392934875859,0.0958497965237232,-1.99680063826206,0.0458468442242762,0.139736054633062,"RBM5","10181","RBM5","NS",0.854691522962879
"ENSG00000003987",25.5428389888975,1.00237021905787,0.361492857245983,2.77286313952199,0.00555654843738526,0.0261755543192863,"MTMR7","9108","MTMR7","UP",1.58210411250459
"ENSG00000003989",38.4713780666898,0.555745101837161,0.3673378981308,1.5128988995284,0.130305341499557,0.301610522667594,"SLC7A2","6542","SLC7A2","NS",0.520553510757331
"ENSG00000004059",1227.24827128654,0.363934753374381,0.0891358659974492,4.08292160851161,4.44730281662019e-05,0.000389339440132071,"ARF5","381","ARF5","NS",3.40967159997018
"ENSG00000004139",85.0323249230065,-0.169157248831459,0.215107602275027,-0.786384335292725,0.431642357835991,0.648107895652411,"SARM1","23098","SARM1","NS",0.188352687669846
"ENSG00000004142",1462.46016714284,0.14091756145437,0.0878845307163172,1.60343988078219,0.10883757215827,0.264204935233779,"POLDIP2","26073","POLDIP2","NS",0.578059074212866
"ENSG00000004399",3639.91280982423,-0.0416575308270711,0.113479458498692,-0.367093140716312,0.713549543594351,0.854467726783451,"PLXND1","23129","PLXND1","NS",0.0683043359210684
"ENSG00000004455",1226.82611810876,0.0274847480221316,0.120286516913513,0.22849400520836,0.819262216022564,0.913680245757038,"AK2","204","AK2","NS",0.0392057646597034
"ENSG00000004478",467.218504627604,-0.0760750751588112,0.113189016230116,-0.672106514329527,0.501515889662496,0.706170242813782,"FKBP4","2288","FKBP4","NS",0.15109058704771
"ENSG00000004487",1240.00504962018,-0.302148418889375,0.0885250943975393,-3.4131386240891,0.000642192667283226,0.00418282162724977,"KDM1A","23028","KDM1A","NS",2.37853065513079
"ENSG00000004534",1287.59611997078,-0.190775945985187,0.0924656997975107,-2.06320772354468,0.0390928966470381,0.123743221963426,"RBM6","10180","RBM6","NS",0.907478580228739
"ENSG00000004660",78.2802141997583,-0.568683136859253,0.262836449404766,-2.16363878810235,0.0304920822152287,0.102210986961005,"CAMKK1","84254","CAMKK1","NS",0.990502418094919
