"entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","label","direction"
"2289",2652.19933512106,-4.2476194032572,0.217472890221842,-19.5317190980643,5.9018860575225e-85,7.90616656265714e-81,"FKBP5","FKBP5","Down in Dex"
"1831",2337.85873772534,-3.52109289792306,0.196792299002387,-17.8924323551927,1.35081078092088e-71,9.04773061060805e-68,"TSC22D3","TSC22D3","Down in Dex"
"8404",961.490184444386,-4.8045485812634,0.28190405425175,-17.0432049798503,3.92613924482096e-65,1.75315204412072e-61,"SPARCL1","SPARCL1","Down in Dex"
"4128",2222.18320818944,-3.2573478899516,0.194885471834385,-16.7141647824817,1.0335790531749e-62,3.46145624908274e-59,"MAOA","MAOA","Down in Dex"
"25939",8387.0956127717,-3.80867865469178,0.260723954012348,-14.608088731699,2.49417264629202e-48,6.68238735394559e-45,"SAMHD1","SAMHD1","Down in Dex"
"2752",19224.2212621727,-3.03044551577666,0.213497889632668,-14.1942645006499,9.94240935636595e-46,2.21980859563131e-42,"GLUL","GLUL","Down in Dex"
"7412",473.705290081468,3.65200259806554,0.265114662226667,13.7751815285989,3.59478359963816e-43,6.87938872867896e-40,"VCAM1","VCAM1","Up in Dex"
"28999",594.270658402981,-4.5136041676056,0.330651966282444,-13.6506194666027,2.00169706121085e-42,3.35184172899757e-39,"KLF15","KLF15","Down in Dex"
"83716",3306.89077962328,-2.85539329986225,0.21182858666912,-13.47973540664,2.05843694538927e-41,3.06386903560385e-38,"CRISPLD2","CRISPLD2","Down in Dex"
"7704",331.440921170137,-7.45286575403378,0.561018661607525,-13.2845237851421,2.84663683167393e-40,3.8133546997104e-37,"ZBTB16","ZBTB16","Down in Dex"
"687",1752.95705799763,-2.18484063913067,0.181169927942181,-12.0596208429688,1.72575554155958e-33,2.10165647588474e-30,"KLF9","KLF9","Down in Dex"
"140766",688.508820922161,2.66047444931525,0.234745827622516,11.3334259282062,8.96290208350748e-30,1.00055863592222e-26,"ADAMTS14","ADAMTS14","Up in Dex"
"84940",1531.74960322741,-2.54990198655151,0.226479600424813,-11.258859437091,2.09451945523789e-29,2.15832174018206e-26,"CORO6","CORO6","Down in Dex"
"5187",740.969551182948,-3.35395222541763,0.304221357594358,-11.0247099412715,2.90453344193244e-28,2.7792235705805e-25,"PER1","PER1","Down in Dex"
"25777",4023.31939486833,-1.85737369227023,0.170250554121992,-10.909648440494,1.03656430347434e-27,9.2572102728948e-25,"SUN2","SUN2","Down in Dex"
"25840",3855.52249700535,-2.3061606749445,0.21243079618264,-10.8560562610788,1.8663638732129e-27,1.5626131528475e-24,"TMT1A","TMT1A","Down in Dex"
"121512",983.694718729657,-2.24732241378948,0.215994885236556,-10.4045168075542,2.36452609033585e-25,1.86324655918465e-22,"FGD4","FGD4","Down in Dex"
"1843",3213.08566259423,-2.87597351472316,0.281815525775889,-10.2051634905674,1.88004258799157e-24,1.3991694727075e-21,"DUSP1","DUSP1","Down in Dex"
"26112",2124.93379261937,-3.03688862626802,0.300149511618496,-10.1179195991098,4.60090868859374e-24,3.24388277854746e-21,"CCDC69","CCDC69","Down in Dex"
"2308",614.364449425274,-2.33289704202814,0.230939524359387,-10.1017660294376,5.42561818637754e-24,3.63407906123567e-21,"FOXO1","FOXO1","Down in Dex"
"12",3201.0817974636,-3.42546934811654,0.344224170577038,-9.95127489848919,2.48972924073872e-23,1.58821013852076e-20,"SERPINA3","SERPINA3","Down in Dex"
"4501",168.297868641736,-3.37554824670674,0.342536822720703,-9.85455583985225,6.55056749113902e-23,3.9887000959681e-20,"MT1X","MT1X","Down in Dex"
"4837",3329.56604338743,-2.22661193863035,0.228823210566949,-9.73070840634362,2.23034240808001e-22,1.29902899559304e-19,"NNMT","NNMT","Down in Dex"
"5166",624.132151509411,-3.74435878267908,0.386258636936844,-9.69391600501946,3.20017747521368e-22,1.78623239408177e-19,"PDK4","PDK4","Down in Dex"
"91624",5180.71742295272,-2.12201109143624,0.221031380494719,-9.60049693707152,7.95599065313515e-22,4.26313803157594e-19,"NEXN","NEXN","Down in Dex"
"115207",2353.00222804593,2.49190731118421,0.26014203960264,9.57902580832582,9.79645821267536e-22,5.04743670065381e-19,"KCTD12","KCTD12","Up in Dex"
"6319",1639.58590979215,2.38137807224136,0.250273809440447,9.51509100199321,1.81553919521919e-21,9.0077640959838e-19,"SCD","SCD","Up in Dex"
"783",563.69978320796,-3.32956972204571,0.355819205934792,-9.3574761185204,8.16640640985492e-21,3.90704215237202e-18,"CACNB2","CACNB2","Down in Dex"
"23531",1644.57463794113,-1.9191977214453,0.210326922388399,-9.12483147497984,7.18479547488113e-20,3.31888000625888e-17,"MMD","MMD","Down in Dex"
"91584",362.52249860555,-2.30356874032036,0.253314614857541,-9.09370642359438,9.57190825563429e-20,4.27417609974923e-17,"PLXNA4","PLXNA4","Down in Dex"
"4502",3377.68276973796,-2.14120028569255,0.236183288235516,-9.06584162532871,1.23645962470251e-19,5.34310101048865e-17,"MT2A","MT2A","Down in Dex"
"5295",3351.36147449064,-1.69774105330448,0.1878081560708,-9.03976211056808,1.5701313781325e-19,6.57296248170716e-17,"PIK3R1","PIK3R1","Down in Dex"
"125",36956.1170824748,-1.38427451871264,0.153871752029895,-8.9962874956002,2.33479350902814e-19,9.47784662028516e-17,"ADH1B","ADH1B","Down in Dex"
"261729",3021.76800854432,-2.00011364453207,0.228996605742616,-8.73425017827612,2.45277708305067e-18,9.66394170721963e-16,"STEAP2","STEAP2","Down in Dex"
"9096",1761.81918396241,1.85846045092263,0.220992520865838,8.4096079072779,4.11383604528571e-17,1.57454136178993e-14,"TBX18","TBX18","Up in Dex"
"4493",552.919579733463,-1.97388485919291,0.23580588277218,-8.37080413765566,5.72263591802869e-17,2.12945640994201e-14,"MT1E","MT1E","Down in Dex"
"388610",868.69905872976,-2.15387748241393,0.259868463349199,-8.28833731748223,1.14842500280321e-16,4.15791928041942e-14,"TRNP1","TRNP1","Down in Dex"
"8038",1122.25852227699,1.90097442645985,0.229821453333976,8.27152730470883,1.32253731919309e-16,4.66229208629227e-14,"ADAM12","ADAM12","Up in Dex"
"2040",12190.3407829139,-1.43101785200629,0.173408813639877,-8.25227865855843,1.55402543354714e-16,5.33787813020448e-14,"STOM","STOM","Down in Dex"
"11170",232.098527547719,-4.55984450927841,0.554167508460748,-8.2282783448344,1.8992334830275e-16,6.36053293465909e-14,"FAM107A","FAM107A","Down in Dex"
"26872",1607.66950463657,-1.66983787379524,0.204024612747484,-8.184492308592,2.73454004709574e-16,8.93460938314501e-14,"STEAP1","STEAP1","Down in Dex"
"3625",193.583835469768,-3.25094909499121,0.401083847331536,-8.10541016951993,5.25678705612631e-16,1.67666474771114e-13,"INHBB","INHBB","Down in Dex"
